dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-05-01,18,1,0,0,0,0,0,1,1,4,15,2,2
2015-06-01,30,2,2,0,1,1,8,0,4,12,29,1,4
2015-07-01,21,2,2,2,1,1,16,0,7,24,37,10,1
2015-08-01,38,5,5,0,5,1,0,0,14,20,26,9,1
2015-09-01,23,2,1,0,1,1,4,0,9,39,44,6,3
2015-10-01,6,1,1,0,0,0,6,0,6,43,22,4,1
2015-11-01,107,5,12,4,7,1,34,0,20,42,23,10,2
2015-12-01,126,5,19,4,11,1,46,0,21,58,21,5,1
2016-01-01,74,4,6,5,6,1,20,0,16,53,34,6,1
2016-02-01,29,3,1,0,1,1,0,0,4,4,27,3,1
2016-03-01,6,1,1,0,0,0,3,1,5,20,36,4,3
2016-04-01,37,3,3,0,2,1,10,1,14,73,30,5,0
2016-05-01,21,2,4,1,2,1,11,1,19,65,23,7,1
2016-06-01,39,5,12,1,10,1,39,0,23,68,16,2,1
2016-07-01,32,5,5,2,4,1,22,0,17,78,21,5,1
2016-08-01,45,4,3,2,2,1,9,1,11,23,50,10,3
2016-09-01,68,3,11,5,5,1,44,3,48,203,183,18,1
2016-10-01,60,7,12,3,7,1,39,2,31,155,69,12,1
2016-11-01,24,3,11,0,4,1,33,0,26,113,91,19,0
2016-12-01,31,7,11,2,12,1,28,0,29,65,47,12,1
2017-01-01,24,7,23,5,21,1,34,0,43,97,30,6,2
2017-02-01,18,6,12,5,8,1,20,0,32,137,32,9,2
2017-03-01,27,5,5,1,4,1,8,0,28,129,36,6,0
2017-04-01,9,4,5,0,4,1,42,0,10,108,49,11,0
2017-05-01,29,3,9,0,7,1,33,1,21,105,64,18,0
2017-06-01,20,3,10,1,9,1,32,0,15,42,51,8,1
2017-07-01,45,5,11,2,9,1,38,1,26,110,22,10,1
2017-08-01,11,2,5,3,3,1,12,1,13,35,28,7,0
2017-09-01,25,4,2,0,3,1,8,1,13,57,44,5,1
2017-10-01,9,4,4,1,3,1,9,1,13,77,30,12,2
2017-11-01,21,5,8,2,4,1,13,1,25,111,40,9,0
2017-12-01,33,6,4,2,6,1,19,0,18,79,32,5,0
2018-01-01,32,2,6,0,5,1,15,1,30,115,31,11,0
2018-02-01,22,3,6,0,3,1,14,0,7,21,51,7,0
2018-03-01,20,9,14,2,12,1,49,0,27,81,56,9,0
2018-04-01,22,4,5,1,5,1,13,2,23,90,33,5,2
2018-05-01,15,4,9,2,5,1,28,4,20,81,76,9,0
2018-06-01,84,7,6,4,8,1,38,5,33,139,88,11,0
2018-07-01,146,9,19,4,14,1,36,0,52,139,39,12,2
2018-08-01,27,5,16,6,10,1,57,2,21,45,39,13,1
2018-09-01,35,4,24,6,17,1,54,2,39,82,36,7,0
2018-10-01,20,7,25,3,20,1,37,0,35,50,39,17,1
2018-11-01,11,3,15,6,11,1,16,0,27,33,40,16,0
2018-12-01,3,3,2,0,3,1,2,0,8,17,40,10,0
2019-01-01,16,4,20,5,16,1,33,0,31,48,60,10,0
2019-02-01,6,3,9,1,6,1,27,3,22,92,41,7,0
2019-03-01,49,8,44,5,44,1,115,0,81,221,66,21,0
2019-04-01,11,3,10,0,7,1,20,2,16,58,41,12,1
2019-05-01,27,4,31,5,27,1,36,3,41,68,38,10,0
2019-06-01,7,3,8,1,7,1,8,0,16,34,45,6,0
2019-07-01,5,3,5,0,5,1,0,1,11,17,32,9,0
2019-08-01,15,5,12,0,13,2,6,3,19,47,330,27,0
2019-09-01,49,2,18,0,18,2,0,1,21,33,44,6,0
2019-10-01,27,4,24,1,21,1,12,5,36,66,289,23,0
2019-11-01,9,1,9,0,9,1,0,6,17,53,54,12,2
2019-12-01,2,1,2,0,2,1,0,0,3,3,33,7,0
2020-01-01,6,2,7,1,6,1,5,6,14,41,38,9,0
2020-02-01,2,1,4,0,2,1,7,2,5,7,49,7,0
2020-03-01,5,3,5,0,5,1,2,2,11,24,48,10,0
2020-04-01,5,4,10,1,9,1,30,2,16,66,34,5,0
