dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-09-01,27,9,0,0,0,0,0,0,1,1,16,6,5
2016-10-01,39,4,0,0,0,0,0,0,2,19,31,8,1
2016-11-01,28,6,0,0,0,0,0,0,6,13,49,6,1
2016-12-01,39,7,0,0,0,0,0,0,3,10,18,5,1
2017-01-01,31,4,0,0,0,0,0,0,4,15,52,5,0
2017-02-01,25,7,0,0,0,0,0,0,7,16,23,8,2
2017-03-01,67,9,0,0,0,0,0,0,11,35,23,8,3
2017-04-01,39,12,2,0,2,1,8,0,13,43,37,7,4
2017-05-01,91,14,3,0,2,1,20,0,13,48,27,8,2
2017-06-01,132,14,5,1,3,1,24,0,18,52,38,6,1
2017-07-01,62,10,0,0,0,0,0,0,7,34,21,7,0
2017-08-01,84,13,4,3,2,1,13,0,25,89,22,7,2
2017-09-01,35,8,0,0,0,0,0,0,10,26,31,6,1
2017-10-01,108,16,3,0,2,1,19,0,15,76,28,12,1
2017-11-01,61,11,1,1,0,0,2,0,12,40,52,13,1
2017-12-01,80,10,0,1,0,0,1,0,17,85,35,11,0
2018-01-01,47,9,2,1,2,1,25,0,13,46,54,14,1
2018-02-01,56,13,2,1,1,1,14,0,5,15,40,6,2
2018-03-01,47,17,5,0,5,1,20,0,18,96,46,13,2
2018-04-01,69,17,6,1,5,1,18,0,19,62,51,14,0
2018-05-01,64,16,3,1,2,1,10,0,17,65,55,12,1
2018-06-01,48,15,5,1,4,1,62,0,18,93,47,12,0
2018-07-01,89,14,2,0,2,1,6,0,16,68,57,17,0
2018-08-01,144,14,1,0,1,1,18,0,28,154,45,9,1
2018-09-01,80,13,2,0,2,1,4,1,8,43,49,6,1
2018-10-01,142,13,0,0,0,0,0,0,22,81,50,6,1
2018-11-01,88,14,5,1,1,1,12,0,18,117,57,12,0
2018-12-01,134,17,1,0,2,1,3,0,11,45,52,11,0
2019-01-01,87,18,7,4,2,2,45,1,32,157,59,22,0
2019-02-01,68,17,4,2,4,2,33,1,17,97,45,7,0
2019-03-01,135,14,4,0,2,2,29,0,18,109,61,16,1
2019-04-01,148,18,4,2,1,1,14,0,26,115,74,17,0
2019-05-01,220,27,2,0,3,2,10,0,18,85,49,12,1
2019-06-01,261,30,1,1,0,0,11,0,19,83,38,7,0
2019-07-01,131,19,1,1,2,1,37,1,17,119,51,17,0
2019-08-01,156,22,0,0,1,1,10,0,25,140,65,9,3
2019-09-01,133,27,6,1,5,1,60,0,20,97,56,17,1
2019-10-01,165,25,0,0,0,0,0,0,20,118,45,9,0
2019-11-01,161,23,0,0,0,0,0,2,16,64,36,15,0
2019-12-01,145,16,1,0,1,1,2,1,14,73,49,15,0
2020-01-01,168,20,1,0,1,1,4,0,22,94,33,9,0
2020-02-01,173,23,4,2,2,2,42,1,18,102,41,20,0
2020-03-01,190,23,3,2,1,1,30,4,19,117,35,7,1
2020-04-01,169,23,2,3,5,2,47,1,21,209,50,15,0
