dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-04-01,4,1,1,1,0,0,12,0,1,6,1,0,2
2015-05-01,1,1,0,0,0,0,0,0,0,0,0,0,2
2015-06-01,2,1,0,0,0,0,0,0,0,0,3,0,0
2015-07-01,7,1,0,0,0,0,0,1,5,16,4,0,1
2015-08-01,3,1,0,0,0,0,0,0,4,3,2,0,2
2015-09-01,1,1,0,0,0,0,0,0,10,10,3,2,1
2015-10-01,45,3,0,0,0,0,0,1,6,9,9,0,2
2015-11-01,91,3,7,0,3,2,9,1,38,52,2,1,1
2015-12-01,73,3,7,1,7,2,12,0,29,58,4,0,3
2016-01-01,100,3,6,1,7,3,10,1,26,48,11,0,0
2016-02-01,54,3,3,0,4,2,5,1,15,55,2,0,3
2016-03-01,56,4,7,0,3,1,28,1,18,82,6,1,1
2016-04-01,77,3,15,1,16,3,32,0,37,122,7,2,2
2016-05-01,81,4,4,0,6,4,2,0,21,63,6,2,1
2016-06-01,47,3,3,0,2,1,6,1,13,50,8,3,0
2016-07-01,78,2,9,0,10,2,14,0,35,145,8,0,3
2016-08-01,100,3,8,0,8,2,2,0,23,20,5,2,1
2016-09-01,101,3,18,0,15,3,10,1,44,129,4,0,1
2016-10-01,42,3,5,2,4,1,4,0,12,6,12,1,1
2016-11-01,105,3,19,4,14,3,39,0,48,109,8,2,2
2016-12-01,127,3,10,3,8,3,11,1,37,84,8,2,0
2017-01-01,82,5,6,0,7,2,11,0,28,89,4,0,1
2017-02-01,87,3,7,1,4,2,1,1,28,61,6,2,3
2017-03-01,89,2,16,1,16,2,15,0,69,153,13,0,0
2017-04-01,81,3,10,0,8,2,7,2,33,82,6,1,0
2017-05-01,61,2,17,1,19,1,25,1,49,169,9,2,1
2017-06-01,66,3,13,0,13,2,2,1,43,124,6,2,2
2017-07-01,41,5,8,1,7,3,8,0,21,21,6,4,1
2017-08-01,79,6,7,1,7,2,1,1,60,155,6,2,1
2017-09-01,92,4,0,0,0,0,0,3,17,55,10,1,0
2017-10-01,28,4,0,0,0,0,0,0,12,37,13,4,2
2017-11-01,30,4,1,0,1,1,0,0,20,99,9,1,3
2017-12-01,25,3,0,0,0,0,0,0,25,103,13,2,0
2018-01-01,30,4,0,0,0,0,0,0,13,62,8,2,2
2018-02-01,64,5,0,0,0,0,0,1,14,25,7,3,0
2018-03-01,93,4,1,1,0,0,0,1,22,36,10,2,0
2018-04-01,64,5,0,0,0,0,0,1,22,23,8,2,1
2018-05-01,93,4,0,0,0,0,0,0,10,35,8,1,1
2018-06-01,71,3,0,0,0,0,0,0,19,133,6,1,0
2018-07-01,91,5,0,0,0,0,0,0,6,8,5,0,0
2018-08-01,146,4,2,2,0,0,0,1,43,146,9,3,0
2018-09-01,111,3,1,0,0,0,0,0,8,17,21,2,1
2018-10-01,127,5,1,1,0,0,0,7,9,12,14,1,2
2018-11-01,140,4,0,0,0,0,0,1,5,16,10,4,0
2018-12-01,291,4,0,0,0,0,0,7,27,50,11,1,0
2019-01-01,120,2,0,0,0,0,0,1,92,108,10,2,1
2019-02-01,165,4,0,0,0,0,0,6,70,136,12,3,0
2019-03-01,112,3,0,0,0,0,0,9,22,75,34,4,0
2019-04-01,102,3,1,0,0,0,1,6,28,98,24,5,1
2019-05-01,78,3,0,0,0,0,0,2,7,23,40,2,0
2019-06-01,53,3,1,2,0,0,4,3,35,107,26,3,0
2019-07-01,15,2,1,0,0,0,1,2,17,26,29,3,1
2019-08-01,19,3,1,3,0,0,6,5,27,111,19,8,0
2019-09-01,45,4,2,0,0,0,1,5,6,15,19,5,0
2019-10-01,79,2,0,1,1,1,1,6,41,92,31,4,0
2019-11-01,43,5,1,0,1,1,4,4,22,80,17,6,0
2019-12-01,38,4,0,0,0,0,0,4,15,38,25,6,0
2020-01-01,11,4,1,1,0,0,6,2,12,51,15,2,0
2020-02-01,37,5,0,0,0,0,0,8,48,124,22,3,0
2020-03-01,56,5,0,0,0,0,0,8,29,55,36,5,1
2020-04-01,48,2,0,0,0,0,2,2,9,19,19,4,0
