dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-08-01,134,5,0,0,0,0,0,0,1,2,190,13,8
2016-09-01,83,4,3,1,2,1,0,0,6,6,111,19,8
2016-10-01,161,7,3,0,3,1,0,0,6,10,140,24,5
2016-11-01,111,6,5,1,4,1,6,0,6,5,138,32,11
2016-12-01,48,9,12,2,9,1,37,0,22,71,156,42,6
2017-01-01,57,5,9,2,7,1,12,0,23,51,142,23,7
2017-02-01,73,6,7,3,5,1,9,0,24,56,190,40,7
2017-03-01,98,6,5,0,5,1,0,0,15,31,132,33,6
2017-04-01,45,7,8,0,7,1,5,0,15,29,139,28,4
2017-05-01,41,4,4,0,3,1,7,0,9,23,106,25,2
2017-06-01,85,11,11,3,8,1,4,0,24,27,112,22,8
2017-07-01,54,4,3,2,2,1,41,0,14,54,158,36,2
2017-08-01,88,8,7,1,7,1,13,0,21,46,193,52,2
2017-09-01,67,5,5,1,4,1,0,0,11,20,198,55,2
2017-10-01,53,2,3,0,3,1,6,0,5,7,168,55,3
2017-11-01,83,5,8,2,6,1,22,0,12,17,185,46,5
2017-12-01,99,7,13,1,12,2,10,0,18,9,212,38,4
2018-01-01,48,5,14,2,11,3,35,0,18,21,163,54,1
2018-02-01,230,9,45,1,44,5,37,2,103,154,135,20,0
2018-03-01,110,11,66,3,63,5,54,6,81,91,255,69,4
2018-04-01,97,8,57,3,54,5,98,0,71,98,173,44,0
2018-05-01,37,6,46,4,37,3,250,3,115,207,167,53,1
2018-06-01,31,9,30,2,26,4,119,0,50,116,182,33,1
2018-07-01,21,8,26,8,21,5,113,0,48,97,101,18,0
2018-08-01,26,8,40,13,26,6,68,0,45,52,93,28,0
2018-09-01,26,6,38,11,26,4,96,0,53,156,135,13,2
2018-10-01,10,3,20,12,10,3,52,0,24,51,113,23,1
2018-11-01,12,5,10,1,10,3,0,0,14,5,106,22,1
2018-12-01,54,2,16,3,6,2,2,0,13,31,89,13,1
2019-01-01,125,4,12,8,4,1,4,0,17,9,93,18,1
2019-02-01,66,4,8,0,0,0,0,0,1,0,50,13,0
2019-03-01,112,5,1,0,0,0,2,0,1,1,64,16,1
2019-04-01,154,6,2,2,0,0,0,0,3,2,72,23,3
2019-05-01,132,12,36,34,10,2,40,3,76,161,120,24,0
2019-06-01,211,11,13,1,14,4,34,2,21,24,156,28,0
2019-07-01,80,8,13,8,10,4,27,4,25,45,184,46,1
2019-08-01,31,6,6,0,6,3,6,1,7,11,154,47,0
2019-09-01,19,6,6,0,7,5,4,0,7,2,116,20,0
2019-10-01,6,2,1,0,0,0,2,1,0,6,103,25,0
2019-11-01,15,4,1,0,2,2,2,0,2,2,132,24,0
2019-12-01,1,1,1,0,0,0,1,1,1,9,79,22,0
2020-01-01,23,3,6,1,4,2,5,5,5,14,60,16,1
2020-02-01,42,4,3,2,3,2,4,3,5,3,66,16,2
2020-03-01,5,1,2,0,0,0,4,3,2,7,81,16,0
2020-04-01,2,1,1,0,1,1,3,2,1,3,44,8,0
