dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-07-01,0,0,0,0,0,0,0,0,1,0,42,25,4
2015-08-01,0,0,0,0,0,0,0,0,0,0,41,32,1
2015-09-01,1,1,1,0,0,0,0,0,0,0,170,61,3
2015-10-01,0,0,0,0,0,0,0,0,1,2,90,49,3
2015-11-01,0,0,0,0,0,0,0,0,0,0,120,72,6
2015-12-01,0,0,0,0,0,0,0,0,0,0,65,34,4
2016-01-01,1,1,0,0,0,0,0,0,7,5,62,43,2
2016-02-01,3,1,0,0,0,0,0,0,0,0,127,51,6
2016-03-01,5,2,0,0,0,0,0,0,2,4,132,54,3
2016-04-01,0,0,0,0,0,0,0,0,0,0,83,38,1
2016-05-01,2,2,0,0,0,0,0,0,0,0,115,43,4
2016-06-01,0,0,0,0,0,0,0,0,0,0,99,32,9
2016-07-01,0,0,0,0,0,0,0,0,0,0,51,34,3
2016-08-01,0,0,1,0,0,0,1,0,0,0,64,22,2
2016-09-01,2,1,0,1,0,0,1,0,3,4,104,30,3
2016-10-01,0,0,0,0,0,0,0,0,0,0,63,34,3
2016-11-01,0,0,0,0,0,0,0,0,0,0,55,37,2
2016-12-01,1,1,0,0,0,0,0,0,0,0,66,34,1
2017-01-01,0,0,1,0,0,0,0,0,2,2,43,21,1
2017-02-01,0,0,0,0,0,0,0,0,0,0,44,25,3
2017-03-01,1,1,1,0,0,0,0,0,1,4,40,16,1
2017-04-01,2,1,0,0,1,1,0,0,1,0,27,16,3
2017-05-01,0,0,0,0,0,0,0,0,0,0,36,21,0
2017-06-01,0,0,0,0,0,0,0,0,0,0,38,22,1
2017-07-01,0,0,0,0,0,0,0,0,0,0,34,18,3
2017-08-01,0,0,0,0,0,0,0,0,1,0,37,17,1
2017-09-01,4,2,1,0,1,1,2,0,1,1,46,21,4
2017-10-01,0,0,0,0,0,0,0,0,0,0,27,21,1
2017-11-01,2,2,1,0,0,0,2,0,0,0,35,14,3
2017-12-01,0,0,0,0,0,0,0,0,0,0,21,19,4
2018-01-01,1,1,0,0,1,1,2,0,1,2,28,16,3
2018-02-01,0,0,0,0,0,0,0,0,1,1,21,19,2
2018-03-01,3,1,0,0,0,0,0,0,0,0,21,13,4
2018-04-01,1,1,0,0,0,0,0,0,0,0,30,17,1
2018-05-01,0,0,0,0,0,0,0,0,0,0,28,15,2
2018-06-01,0,0,0,0,0,0,0,0,0,0,33,21,0
2018-07-01,0,0,0,0,0,0,0,0,1,1,23,15,0
2018-08-01,0,0,0,0,0,0,0,0,0,0,30,17,0
2018-09-01,0,0,0,0,0,0,0,0,0,0,26,18,1
2018-10-01,2,1,3,2,0,0,4,0,2,2,22,17,2
2018-11-01,0,0,2,1,0,0,0,0,1,0,35,21,2
2018-12-01,0,0,0,3,0,0,0,0,6,3,23,24,0
2019-01-01,0,0,0,0,0,0,0,0,0,0,27,21,3
2019-02-01,0,0,0,1,0,0,0,0,1,0,39,21,3
2019-03-01,1,1,0,0,0,0,0,0,0,0,39,30,0
2019-04-01,2,1,0,0,0,0,0,0,0,0,47,23,0
2019-05-01,1,1,0,0,0,0,0,0,0,0,33,26,1
2019-06-01,0,0,0,0,0,0,0,0,0,0,63,33,1
2019-07-01,0,0,0,0,0,0,0,0,1,1,51,28,1
2019-08-01,0,0,0,0,0,0,0,0,0,0,15,17,1
2019-09-01,0,0,0,0,0,0,0,0,0,0,28,22,0
2019-10-01,5,2,1,0,1,1,2,0,1,1,73,43,0
2019-11-01,3,1,0,0,0,0,0,2,0,0,120,35,0
2019-12-01,7,2,1,0,1,1,2,0,1,1,39,39,0
2020-01-01,0,0,0,0,0,0,0,0,0,0,32,41,0
2020-02-01,0,1,1,1,0,0,0,0,1,1,87,153,3
