dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-01-01,89,2,2,1,0,0,7,0,6,2,9,9,5
2015-02-01,48,2,0,1,0,0,5,0,5,7,4,4,0
2015-03-01,7,1,1,0,0,0,3,0,0,0,4,7,1
2015-04-01,10,2,1,0,0,0,1,0,3,1,3,13,0
2015-05-01,8,3,0,1,0,0,1,0,8,4,4,10,2
2015-06-01,6,1,0,0,0,0,0,0,3,0,4,7,1
2015-07-01,21,3,0,0,0,0,0,1,9,4,1,11,1
2015-08-01,79,5,4,3,1,1,0,0,5,0,4,6,2
2015-09-01,204,4,0,0,0,0,0,0,1,0,7,10,2
2015-10-01,238,5,3,2,0,0,10,0,4,5,3,11,5
2015-11-01,115,6,2,1,0,0,6,3,48,20,5,12,1
2015-12-01,138,4,0,0,0,0,0,3,21,15,7,6,1
2016-01-01,250,5,0,0,0,0,0,1,6,8,6,10,2
2016-02-01,250,4,0,0,0,0,0,1,22,15,4,11,0
2016-03-01,111,4,1,0,0,0,1,7,15,17,4,11,0
2016-04-01,149,6,0,1,0,0,1,13,65,63,3,13,1
2016-05-01,163,5,2,1,0,0,3,0,53,84,2,6,5
2016-06-01,55,4,0,0,0,0,0,2,14,24,4,8,2
2016-07-01,55,3,0,0,0,0,0,2,38,87,3,4,1
2016-08-01,177,6,0,0,0,0,0,13,48,86,3,6,0
2016-09-01,90,5,0,0,0,0,0,2,8,12,5,7,0
2016-10-01,240,6,0,0,0,0,0,1,74,87,3,6,1
2016-11-01,155,6,0,0,0,0,0,2,32,17,4,7,0
2016-12-01,69,3,0,0,0,0,0,0,28,25,2,8,0
2017-01-01,30,2,0,0,0,0,0,3,16,20,6,26,0
2017-02-01,88,6,0,0,0,0,0,1,39,38,5,21,0
2017-03-01,295,7,0,0,0,0,0,3,79,83,4,10,2
2017-04-01,346,7,0,0,0,0,0,0,59,85,6,5,2
2017-05-01,110,7,0,4,0,0,8,0,118,188,8,7,1
2017-06-01,170,6,0,0,0,0,0,4,128,405,6,6,0
2017-07-01,161,6,0,0,0,0,0,2,125,277,2,4,1
2017-08-01,55,5,0,0,0,0,0,3,24,47,5,5,0
2017-09-01,19,3,0,0,0,0,0,3,29,50,14,10,0
2017-10-01,113,8,0,0,0,0,0,23,40,86,13,14,0
2017-11-01,90,6,0,0,0,0,0,11,44,107,11,13,2
2017-12-01,35,3,0,0,0,0,0,4,20,30,2,8,0
2018-01-01,33,4,0,0,0,0,0,2,11,19,7,11,0
2018-02-01,134,10,0,0,0,0,0,0,15,25,10,11,0
2018-03-01,273,7,0,0,0,0,0,2,12,17,9,10,1
2018-04-01,36,4,0,0,0,0,0,4,7,55,7,9,0
2018-05-01,20,2,0,0,0,0,0,2,21,36,10,8,0
2018-06-01,113,7,0,0,0,0,0,10,26,79,10,7,1
2018-07-01,179,7,0,0,0,0,0,5,83,142,8,4,1
2018-08-01,362,8,0,0,0,0,0,14,69,232,11,11,1
2018-09-01,149,6,0,0,0,0,0,13,26,131,10,8,0
2018-10-01,231,8,0,0,0,0,0,18,136,304,13,8,0
2018-11-01,73,5,0,0,0,0,0,10,29,50,12,9,0
2018-12-01,117,6,0,0,0,0,0,27,69,97,19,9,0
2019-01-01,22,5,0,0,0,0,0,27,105,253,11,11,0
2019-02-01,86,8,0,0,0,0,0,41,50,95,15,10,0
2019-03-01,55,6,0,0,0,0,0,9,30,63,12,7,0
2019-04-01,72,8,0,0,0,0,0,6,71,100,10,6,1
2019-05-01,144,6,0,0,0,0,0,6,236,364,11,9,0
2019-06-01,47,5,2,2,0,0,2,4,56,40,10,7,0
2019-07-01,33,5,0,0,0,0,0,11,15,41,17,15,0
2019-08-01,75,7,0,0,0,0,0,6,63,40,8,15,0
2019-09-01,120,6,0,0,0,0,0,13,96,135,14,9,0
2019-10-01,51,5,0,0,0,0,0,2,54,63,9,9,0
2019-11-01,33,3,0,0,0,0,0,5,14,19,7,10,0
2019-12-01,19,4,0,0,0,0,0,11,8,19,15,10,0
2020-01-01,35,7,0,0,0,0,0,16,30,27,7,13,0
2020-02-01,69,8,0,0,0,0,0,34,47,124,7,5,0
2020-03-01,48,4,0,0,0,0,0,25,43,80,7,12,0
2020-04-01,7,3,0,0,0,0,0,2,12,16,9,8,0
