dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2017-03-01,23,1,0,0,0,0,0,1,6,10,7,1,0
2017-04-01,15,2,0,0,0,0,0,0,6,10,16,3,0
2017-05-01,98,3,12,1,10,1,26,1,31,49,192,6,0
2017-06-01,185,8,36,5,32,1,132,0,80,252,90,6,0
2017-07-01,188,9,56,3,49,1,223,2,106,381,74,9,1
2017-08-01,123,8,51,5,48,1,194,3,80,219,39,6,0
2017-09-01,273,11,54,8,46,1,189,4,83,234,56,7,0
2017-10-01,159,13,54,6,47,1,130,1,81,170,81,11,0
2017-11-01,100,10,32,3,27,1,113,1,46,134,79,4,0
2017-12-01,95,10,50,3,41,2,101,0,65,161,70,5,1
2018-01-01,108,12,37,5,40,2,121,0,64,141,61,5,1
2018-02-01,73,6,23,2,20,1,48,3,41,123,58,5,1
2018-03-01,88,10,41,6,37,1,188,0,76,248,84,6,0
2018-04-01,40,5,20,2,19,1,52,3,42,144,77,2,0
2018-05-01,67,8,25,1,22,1,70,1,45,157,85,7,0
2018-06-01,41,7,24,1,23,1,40,0,38,79,40,4,1
2018-07-01,53,7,30,1,23,1,91,2,41,122,69,9,0
2018-08-01,79,12,22,1,28,1,51,1,50,93,76,8,0
2018-09-01,154,11,53,3,44,1,233,1,86,281,64,9,0
2018-10-01,86,16,62,15,50,2,247,8,113,413,79,14,0
2018-11-01,37,11,40,1,34,1,120,3,68,226,87,11,0
2018-12-01,25,7,26,5,25,1,97,1,47,159,47,6,0
2019-01-01,13,7,14,0,12,1,42,1,23,65,47,8,0
2019-02-01,39,11,38,6,34,1,159,3,77,305,59,12,0
2019-03-01,30,9,33,1,30,1,122,1,50,152,84,12,0
2019-04-01,22,8,37,9,22,3,196,2,48,178,97,5,0
2019-05-01,25,6,24,2,25,3,83,2,53,158,91,12,1
2019-06-01,49,9,48,6,49,3,201,2,77,200,75,12,0
2019-07-01,29,9,32,3,29,3,125,1,67,227,87,12,0
2019-08-01,43,9,55,5,43,3,143,0,83,199,127,14,0
2019-09-01,46,7,52,6,46,3,169,8,85,252,68,10,0
2019-10-01,57,9,67,7,57,3,184,4,90,168,80,17,0
2019-11-01,55,6,52,2,50,3,172,7,80,161,64,9,0
2019-12-01,43,13,39,1,43,3,146,3,80,254,71,14,0
2020-01-01,55,9,61,7,53,3,230,10,84,239,86,17,0
2020-02-01,45,10,45,4,45,3,140,1,78,171,69,11,0
2020-03-01,126,14,133,8,124,4,412,11,189,457,92,22,0
2020-04-01,26,6,45,3,42,3,105,1,64,159,76,11,0
