dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-09-01,6,1,1,0,0,0,8,0,2,6,57,6,2
2016-10-01,16,3,6,2,5,2,54,0,14,95,21,10,2
2016-11-01,14,4,4,0,2,1,44,0,13,71,28,11,0
2016-12-01,9,3,1,0,1,1,2,0,5,17,27,7,2
2017-01-01,14,1,5,1,0,0,27,0,9,59,19,23,1
2017-02-01,39,7,20,5,18,2,130,1,52,198,23,18,1
2017-03-01,51,24,9,5,6,4,103,1,34,159,44,28,1
2017-04-01,105,33,6,1,4,2,46,0,14,85,56,17,1
2017-05-01,82,24,1,0,1,1,6,0,5,15,29,21,0
2017-06-01,102,38,7,2,2,1,38,0,18,58,33,23,2
2017-07-01,76,27,5,1,4,2,19,1,21,133,44,28,1
2017-08-01,94,29,12,8,3,1,76,0,22,84,54,34,1
2017-09-01,78,27,0,0,1,1,3,1,9,48,31,19,2
2017-10-01,58,15,6,6,2,1,45,0,15,59,45,22,0
2017-11-01,47,26,2,0,2,1,21,2,7,52,36,32,1
2017-12-01,67,19,5,2,5,1,75,2,18,108,67,27,2
2018-01-01,50,20,1,0,1,1,4,0,12,62,68,32,1
2018-02-01,77,31,0,1,0,0,13,0,35,230,60,26,0
2018-03-01,31,13,2,2,0,0,4,1,28,160,76,30,0
2018-04-01,65,20,3,1,2,1,20,1,13,67,75,25,1
2018-05-01,74,23,3,0,3,1,30,0,23,111,93,24,1
2018-06-01,53,16,1,0,1,1,12,0,15,62,60,23,0
2018-07-01,45,17,2,2,0,0,8,0,19,94,82,32,0
2018-08-01,51,19,1,1,0,0,6,0,11,81,93,33,0
2018-09-01,37,15,3,0,3,1,40,0,19,100,84,33,2
2018-10-01,49,20,4,2,2,1,24,0,23,71,72,28,2
2018-11-01,76,27,4,2,0,0,22,1,10,124,87,26,0
2018-12-01,36,16,0,0,2,1,8,0,16,98,88,32,1
2019-01-01,69,22,1,0,1,1,4,0,16,134,88,21,0
2019-02-01,71,25,4,4,0,0,28,1,8,23,80,29,0
2019-03-01,49,19,1,1,0,0,6,1,12,52,127,42,0
2019-04-01,64,15,3,0,2,1,15,0,19,77,118,45,0
2019-05-01,56,19,1,1,1,1,15,1,14,73,116,42,0
2019-06-01,43,17,0,0,0,0,0,0,9,40,89,45,0
2019-07-01,61,27,4,3,1,1,48,0,18,65,125,52,0
2019-08-01,58,22,2,2,0,0,30,0,25,105,132,67,0
2019-09-01,40,18,2,1,1,1,16,0,28,112,124,53,0
2019-10-01,48,20,0,0,0,0,0,0,18,69,118,55,1
2019-11-01,49,18,0,0,0,0,0,1,12,57,110,41,1
2019-12-01,37,19,2,0,2,1,18,5,10,45,105,47,0
2020-01-01,59,14,2,1,0,0,17,6,11,73,87,47,0
2020-02-01,57,21,0,0,1,1,9,7,15,95,103,41,0
2020-03-01,82,27,1,0,0,0,10,11,12,35,118,48,0
2020-04-01,16,1,1,1,0,0,10,0,10,88,66,36,0
