dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-10-01,49,4,3,0,2,2,52,0,5,21,21,1,1
2016-11-01,17,3,3,1,2,2,2,0,4,3,9,3,0
2016-12-01,30,3,8,0,4,2,113,0,12,99,20,4,0
2017-01-01,27,7,5,1,7,2,25,0,15,30,13,2,0
2017-02-01,17,5,9,1,7,1,39,0,12,32,21,6,0
2017-03-01,9,6,6,1,5,2,13,0,13,17,26,7,0
2017-04-01,24,4,8,0,5,2,34,0,17,44,27,8,0
2017-05-01,10,7,15,5,9,2,74,0,20,58,29,7,0
2017-06-01,38,9,16,4,17,4,68,0,41,144,31,5,2
2017-07-01,50,10,21,3,15,3,94,0,36,112,51,7,1
2017-08-01,24,7,12,0,11,1,71,0,14,23,50,14,0
2017-09-01,41,3,6,1,2,1,25,0,12,26,60,11,0
2017-10-01,19,8,5,1,8,1,17,0,24,82,111,8,0
2017-11-01,10,5,9,2,7,2,66,0,18,87,62,7,0
2017-12-01,21,6,17,2,10,1,78,0,28,52,63,9,0
2018-01-01,10,8,9,1,10,2,70,0,17,62,63,5,0
2018-02-01,19,8,8,1,6,2,50,0,13,52,62,11,1
2018-03-01,8,5,10,0,5,3,24,0,9,15,74,12,0
2018-04-01,4,3,4,1,2,2,20,0,6,13,71,10,0
2018-05-01,0,0,4,0,0,0,8,0,1,24,68,6,0
2018-06-01,28,7,18,4,22,2,48,0,45,98,147,11,0
2018-07-01,34,7,33,4,29,2,66,0,61,132,69,11,0
2018-08-01,67,7,18,2,17,3,60,0,32,99,93,10,0
2018-09-01,12,6,12,0,5,4,40,4,11,44,62,8,0
2018-10-01,57,5,7,1,4,3,19,6,20,68,62,6,0
2018-11-01,222,23,62,22,50,7,188,7,200,585,80,24,0
2018-12-01,54,9,63,3,45,5,46,7,52,125,67,13,0
2019-01-01,70,10,61,5,50,6,41,10,58,56,100,6,0
2019-02-01,110,12,73,7,76,4,76,14,140,343,63,13,0
2019-03-01,104,13,70,10,59,7,89,8,90,118,72,11,0
2019-04-01,83,9,44,1,39,6,56,6,52,83,36,5,0
2019-05-01,85,11,63,4,56,4,105,12,73,90,59,9,0
2019-06-01,67,9,46,4,32,6,35,4,48,46,58,12,0
2019-07-01,85,13,56,8,48,8,137,15,101,204,60,8,0
2019-08-01,53,12,29,4,29,8,163,8,44,150,61,3,0
2019-09-01,61,9,40,6,32,5,110,10,44,89,61,15,0
2019-10-01,71,16,49,5,48,8,115,13,71,212,66,15,1
2019-11-01,29,6,43,18,22,5,101,16,44,67,49,9,0
2019-12-01,28,9,33,19,24,4,85,20,48,80,53,18,0
2020-01-01,14,4,27,2,11,3,33,22,18,51,43,14,0
2020-02-01,30,5,25,5,24,3,18,13,39,59,51,11,0
2020-03-01,24,5,27,0,18,3,15,17,24,29,58,6,0
2020-04-01,19,6,23,2,24,3,12,4,27,30,29,5,0
